1982	-.278	-.138	.102	-.013	.407	.954	1.626	1.827	1.797	2.021	2.447	2.411
1983	2.687	2.903	3.024	2.835	2.561	2.18	1.738	1.137	.439	.003	-.171	-.172
1984	-.338	-.563	.126	.3	.144	-.107	-.129	-.185	-.084	.017	-.348	-.611
1985	-.557	-.605	-.742	-.477	-.716	-.09	-.146	-.398	-.537	-.139	-.053	-.289
1986	-.302	-.176	.055	-.152	.322	.316	.389	.811	1.157	.994	.867	1.181
1987	1.237	1.184	1.727	1.867	2.131	1.923	1.841	1.956	1.84	1.612	1.252	1.253
1988	1.093	.661	.45	.304	.103	-.682	-1.164	-1.378	-1.574	-1.342	-1.463	-1.339
1989	-1.165	-1.323	-1.052	-.849	-.459	-.256	-.448	-.494	-.28	-.312	-.061	.145
1990	.234	.524	.918	.403	.614	.43	.093	.126	.376	.247	.378	.339
1991	.312	.32	.409	.471	.718	1.14	1.009	1.01	.738	1.02	1.203	1.318
1992	1.749	1.87	1.987	2.269	2.141	1.74	.953	.536	.508	.672	.603	.642
1993	.701	1.005	.994	1.408	1.992	1.499	1.096	1.006	.987	1.06	.826	.565
1994	.34	.194	.168	.45	.531	.764	.835	.742	.886	1.434	1.28	1.184
1995	1.198	.974	.883	.437	.508	.465	.178	-.198	-.456	-.478	-.486	-.553
1996	-.64	-.587	-.243	-.495	-.14	.022	-.21	-.399	-.495	-.381	-.155	-.337
1997	-.485	-.602	-.244	.537	1.121	2.314	2.764	3.004	3.005	2.363	2.527	2.326
1998	2.481	2.774	2.728	2.632	2.178	1.165	.284	-.417	-.655	-.844	-1.165	-1.01
1999	-1.151	-1.247	-1.087	-1.053	-.664	-.403	-.469	-.779	-.997	-1.007	-1.072	-1.205
2000	-1.195	-1.252	-1.151	-.548	.188	-.101	-.187	-.143	-.243	-.381	-.75	-.582
2001	-.539	-.725	-.615	-.156	.22	-.028	.267	.364	-.124	-.273	-.176	.005
2002	-.049	-.21	-.196	.356	.801	.882	.613	.928	.813	.955	1.063	1.114
2003	1.185	.933	.828	.325	.07	.048	.093	.246	.442	.515	.528	.319
2004	.31	.333	-.117	.243	.495	.223	.478	.671	.526	.476	.795	.647
2005	.302	.804	1.032	.589	.782	.504	.492	.319	.262	-.164	-.4	-.583
2006	-.469	-.463	-.584	-.689	-.018	.565	.637	.76	.802	.899	1.299	.953
2007	.972	.505	.074	-.053	.213	-.3	-.294	-.448	-1.152	-1.133	-1.165	-1.164
2008	-1.009	-1.408	-1.645	-.964	-.348	.14	.011	-.262	-.631	-.77	-.605	-.66
2009	-.752	-.728	-.726	-.156	.375	.934	.949	.957	.77	1.025	1.066	1.013
2010	1.153	1.524	1.385	.894	.609	-.388	-1.17	-1.808	-2.019	-1.943	-1.588	-1.574
2011	-1.677	-1.563	-1.56	-1.478	-.281	-.136	-.076	-.462	-.753	-.956	-.965	-.976
2012	-1.045	-.711	-.432	.052	.73	.909	1.138	.575	.278	.112	.176	.041
2013	.041	-.173	-.181	.002	.108	-.242	-.436	-.586	-.175	.102	-.08	-.3
2014	-.312	-.258	.012	.193	.932	.878	.816	.858	.5	.36	.712	.578
